,Assassin,Gunner,Kamikaze,Duelist,Battle Medic,Sweeper,Sniper,Mage,Cannon,Druid,Skirmisher,Hazard,Gladiator,Team Support,Harasser,Wall,Tank,Lead,Healer,Ambulance,Flyer,ENT
0,0.135,0.235,0.29,0.295,0.235,0.33,0.17,0.32,0.31,0.21,0.27,0.125,0.29,0.25,0.295,0.125,0.28,0.27,0.16,0.275,0.13,3.000454260157742
1,0.165,0.295,0.37,0.4,0.16,0.41,0.15,0.33,0.36,0.255,0.21,0.115,0.38,0.155,0.23,0.185,0.245,0.3,0.085,0.12,0.08,2.943913641350025
2,0.235,0.31,0.36,0.54,0.13,0.435,0.165,0.37,0.315,0.24,0.165,0.085,0.45,0.085,0.205,0.225,0.17,0.315,0.06,0.06,0.08,2.8781945926262074
3,0.255,0.355,0.43,0.605,0.135,0.42,0.18,0.36,0.26,0.345,0.14,0.01,0.475,0.06,0.12,0.245,0.125,0.34,0.025,0.05,0.065,2.7895830125321837
4,0.225,0.43,0.385,0.65,0.08,0.44,0.165,0.485,0.205,0.405,0.11,0.02,0.535,0.05,0.04,0.245,0.105,0.265,0.03,0.045,0.085,2.7234714714388364
5,0.255,0.57,0.3,0.7,0.045,0.35,0.12,0.52,0.165,0.5,0.05,0.01,0.61,0.07,0.035,0.29,0.09,0.155,0.035,0.045,0.085,2.640835638904108
6,0.22,0.705,0.315,0.68,0.01,0.29,0.05,0.57,0.125,0.47,0.015,0.02,0.76,0.06,0.02,0.345,0.045,0.155,0.02,0.03,0.095,2.508494211211492
7,0.24,0.825,0.44,0.505,0.02,0.195,0.055,0.46,0.14,0.525,0.01,0.01,0.755,0.015,0.025,0.48,0.05,0.135,0.015,0.03,0.07,2.473641834107214
8,0.19,0.865,0.575,0.475,0.005,0.095,0.02,0.35,0.11,0.63,0.01,0.02,0.775,0.015,0.03,0.615,0.035,0.145,0.0,0.01,0.03,2.345446184748982
9,0.12,0.845,0.68,0.37,0.015,0.04,0.02,0.25,0.085,0.755,0.005,0.04,0.805,0.01,0.015,0.72,0.04,0.155,0.005,0.005,0.02,2.2673444491722727
10,0.095,0.795,0.72,0.33,0.03,0.02,0.02,0.255,0.085,0.8,0.025,0.045,0.79,0.03,0.0,0.745,0.02,0.18,0.005,0.01,0.0,2.2511394498849153
11,0.07,0.73,0.715,0.37,0.015,0.03,0.01,0.29,0.085,0.82,0.04,0.04,0.85,0.005,0.0,0.705,0.02,0.185,0.01,0.01,0.0,2.233479534464223
12,0.05,0.75,0.765,0.325,0.01,0.01,0.025,0.345,0.065,0.85,0.01,0.015,0.83,0.005,0.005,0.695,0.01,0.23,0.0,0.005,0.0,2.166070976975239
13,0.06,0.67,0.735,0.385,0.005,0.01,0.03,0.415,0.05,0.805,0.005,0.025,0.885,0.01,0.02,0.65,0.01,0.215,0.005,0.005,0.005,2.2064721410075
14,0.1,0.695,0.71,0.435,0.01,0.015,0.02,0.36,0.035,0.79,0.005,0.03,0.865,0.02,0.04,0.58,0.01,0.27,0.005,0.005,0.0,2.2453700453158247
15,0.075,0.7,0.69,0.51,0.015,0.015,0.01,0.325,0.05,0.77,0.015,0.045,0.925,0.005,0.005,0.545,0.02,0.27,0.0,0.01,0.0,2.2230364437710604
16,0.09,0.7,0.725,0.47,0.015,0.015,0.0,0.3,0.04,0.775,0.015,0.045,0.995,0.025,0.015,0.505,0.01,0.24,0.015,0.005,0.0,2.2201752765070344
17,0.07,0.735,0.66,0.47,0.025,0.015,0.005,0.28,0.045,0.79,0.01,0.06,0.98,0.02,0.035,0.49,0.015,0.285,0.0,0.01,0.0,2.239842503013605
