0 ent:Extreme Meta ent_val:0.5131241695899166 dmg:[2, 3, 4] rng:[1.5, 2.5, 3.5] aoe:[0, 2.5, 4.5] sur:[10, 20, 30] sup:[0, 2, 4] mob:[1.5, 2.5, 4.5]
1 ent:Extreme Meta ent_val:1.3899761014078293 dmg:[1, 2, 3] rng:[1.5, 4.5, 7.5] aoe:[0, 2.5, 4.5] sur:[5, 10, 15] sup:[0, 3, 8] mob:[1.5, 2.5, 4.5]
2 ent:Extreme Meta ent_val:0.41077492330376275 dmg:[2, 3, 4] rng:[1.5, 2.5, 3.5] aoe:[0, 2.5, 4.5] sur:[10, 20, 30] sup:[0, 3, 8] mob:[1.5, 3.5, 6.5]
3 ent:Stagnant Meta ent_val:1.7861269538914548 dmg:[2, 3, 4] rng:[1.5, 3.5, 5.5] aoe:[0, 1.5, 3.5] sur:[10, 15, 30] sup:[0, 4, 8] mob:[1.5, 2.5, 4.5]
4 ent:Stagnant Meta ent_val:1.588056053426567 dmg:[2, 3, 4] rng:[1.5, 2.5, 3.5] aoe:[0, 2.5, 4.5] sur:[10, 15, 30] sup:[0, 4, 8] mob:[1.5, 3.5, 6.5]
5 ent:Stagnant Meta ent_val:1.5331353656391118 dmg:[1, 2, 3] rng:[1.5, 3.5, 5.5] aoe:[0, 2.5, 4.5] sur:[10, 15, 20] sup:[0, 4, 8] mob:[1.5, 3.5, 6.5]
6 ent:Stagnant Meta ent_val:1.7633152509219594 dmg:[2, 4, 8] rng:[1.5, 2.5, 3.5] aoe:[0, 2.5, 4.5] sur:[10, 20, 30] sup:[0, 3, 8] mob:[1.5, 3.5, 6.5]
7 ent:Established Meta ent_val:2.001170467784993 dmg:[2, 3, 4] rng:[1.5, 4.5, 7.5] aoe:[0, 1.5, 3.5] sur:[10, 15, 20] sup:[0, 4, 8] mob:[1.5, 5.5, 10.5]
8 ent:Extreme Meta ent_val:0.687091561917295 dmg:[2, 3, 4] rng:[1.5, 2.5, 3.5] aoe:[0, 2.5, 4.5] sur:[10, 20, 30] sup:[0, 3, 8] mob:[1.5, 2.5, 4.5]
9 ent:Stagnant Meta ent_val:1.741585206476533 dmg:[2, 3, 4] rng:[1.5, 3.5, 5.5] aoe:[0, 2.5, 4.5] sur:[5, 10, 15] sup:[0, 4, 8] mob:[1.5, 5.5, 10.5]
10 ent:Stagnant Meta ent_val:1.5901337817427412 dmg:[2, 3, 4] rng:[1.5, 4.5, 7.5] aoe:[0, 1.5, 3.5] sur:[5, 10, 15] sup:[0, 3, 8] mob:[1.5, 3.5, 6.5]
11 ent:Stagnant Meta ent_val:1.5008142397694917 dmg:[2, 3, 4] rng:[1.5, 3.5, 5.5] aoe:[0, 2.5, 4.5] sur:[10, 20, 30] sup:[0, 4, 8] mob:[1.5, 3.5, 6.5]
12 ent:Extreme Meta ent_val:1.0928079646185873 dmg:[1, 2, 3] rng:[1.5, 4.5, 7.5] aoe:[0, 1.5, 3.5] sur:[10, 15, 30] sup:[0, 3, 8] mob:[1.5, 5.5, 10.5]
13 ent:Extreme Meta ent_val:1.465318751392288 dmg:[1, 2, 3] rng:[1.5, 3.5, 5.5] aoe:[0, 2.5, 4.5] sur:[10, 20, 30] sup:[0, 4, 8] mob:[1.5, 3.5, 6.5]
14 ent:Extreme Meta ent_val:1.4845050073111308 dmg:[1, 2, 3] rng:[1.5, 4.5, 7.5] aoe:[0, 1.5, 3.5] sur:[5, 10, 15] sup:[0, 2, 4] mob:[1.5, 5.5, 10.5]
15 ent:Extreme Meta ent_val:1.3297172095697354 dmg:[1, 2, 3] rng:[1.5, 2.5, 3.5] aoe:[0, 1.5, 3.5] sur:[10, 15, 20] sup:[0, 2, 4] mob:[1.5, 3.5, 6.5]
16 ent:Stagnant Meta ent_val:1.7063072087614777 dmg:[1, 2, 3] rng:[1.5, 3.5, 5.5] aoe:[0, 2.5, 4.5] sur:[10, 20, 30] sup:[0, 2, 4] mob:[1.5, 5.5, 10.5]
17 ent:Stagnant Meta ent_val:1.8026796895456543 dmg:[1, 2, 3] rng:[1.5, 3.5, 5.5] aoe:[0, 2.5, 4.5] sur:[10, 20, 30] sup:[0, 4, 8] mob:[1.5, 3.5, 6.5]
18 ent:Stagnant Meta ent_val:1.7882850624840199 dmg:[2, 4, 8] rng:[1.5, 2.5, 3.5] aoe:[0, 2.5, 4.5] sur:[10, 15, 30] sup:[0, 4, 8] mob:[1.5, 3.5, 6.5]
19 ent:Extreme Meta ent_val:1.382053648796918 dmg:[2, 4, 8] rng:[1.5, 4.5, 7.5] aoe:[0, 2.5, 4.5] sur:[10, 20, 30] sup:[0, 2, 4] mob:[1.5, 3.5, 6.5]
20 ent:Extreme Meta ent_val:1.0881082528189978 dmg:[2, 4, 8] rng:[1.5, 3.5, 5.5] aoe:[0, 1.5, 3.5] sur:[5, 10, 15] sup:[0, 3, 8] mob:[1.5, 5.5, 10.5]
21 ent:Stagnant Meta ent_val:1.8328733613626103 dmg:[2, 3, 4] rng:[1.5, 2.5, 3.5] aoe:[0, 2.5, 4.5] sur:[10, 15, 30] sup:[0, 4, 8] mob:[1.5, 3.5, 6.5]
22 ent:Extreme Meta ent_val:1.0282386909214534 dmg:[1, 2, 3] rng:[1.5, 4.5, 7.5] aoe:[0, 2.5, 4.5] sur:[5, 10, 15] sup:[0, 4, 8] mob:[1.5, 5.5, 10.5]
23 ent:Stagnant Meta ent_val:1.5593916470060156 dmg:[2, 4, 8] rng:[1.5, 4.5, 7.5] aoe:[0, 2.5, 4.5] sur:[5, 10, 15] sup:[0, 2, 4] mob:[1.5, 2.5, 4.5]
24 ent:Stagnant Meta ent_val:1.7397959583518292 dmg:[2, 3, 4] rng:[1.5, 4.5, 7.5] aoe:[0, 1.5, 3.5] sur:[10, 15, 20] sup:[0, 3, 8] mob:[1.5, 5.5, 10.5]
