1 ent:Established Meta ent_val:2.1629313629366376 dmg:[2, 3, 4] rng:[1.5, 2.5, 3.5] aoe:[0, 2.5, 4.5] sur:[10, 20, 30] sup:[0, 2, 4] mob:[1.5, 2.5, 4.5]
1 ent:Established Meta ent_val:2.1629313629366376 dmg:[2, 3, 4] rng:[1.5, 2.5, 3.5] aoe:[0, 2.5, 4.5] sur:[10, 20, 30] sup:[0, 2, 4] mob:[1.5, 2.5, 4.5]
1 ent:Established Meta ent_val:2.308818793161312 dmg:[2, 4, 8] rng:[1.5, 2.5, 3.5] aoe:[0, 2.5, 4.5] sur:[10, 20, 30] sup:[0, 2, 4] mob:[1.5, 5.5, 10.5]
1 ent:Established Meta ent_val:2.448447125478628 dmg:[2, 3, 4] rng:[1.5, 3.5, 5.5] aoe:[0, 2.5, 4.5] sur:[5, 10, 15] sup:[0, 4, 8] mob:[1.5, 3.5, 6.5]
1 ent:Established Meta ent_val:2.211884786681351 dmg:[2, 3, 4] rng:[1.5, 3.5, 5.5] aoe:[0, 1.5, 3.5] sur:[5, 10, 15] sup:[0, 2, 4] mob:[1.5, 5.5, 10.5]
1 ent:Established Meta ent_val:2.340710532038576 dmg:[2, 3, 4] rng:[1.5, 2.5, 3.5] aoe:[0, 1.5, 3.5] sur:[5, 10, 15] sup:[0, 4, 8] mob:[1.5, 2.5, 4.5]
1 ent:Established Meta ent_val:2.4169370258857983 dmg:[2, 4, 8] rng:[1.5, 2.5, 3.5] aoe:[0, 1.5, 3.5] sur:[5, 10, 15] sup:[0, 3, 8] mob:[1.5, 5.5, 10.5]
1 ent:Established Meta ent_val:2.443738057395952 dmg:[1, 2, 3] rng:[1.5, 2.5, 3.5] aoe:[0, 1.5, 3.5] sur:[5, 10, 15] sup:[0, 4, 8] mob:[1.5, 2.5, 4.5]
1 ent:Established Meta ent_val:2.260705854570965 dmg:[2, 3, 4] rng:[1.5, 3.5, 5.5] aoe:[0, 1.5, 3.5] sur:[10, 20, 30] sup:[0, 3, 8] mob:[1.5, 3.5, 6.5]
1 ent:Established Meta ent_val:2.489309689971263 dmg:[1, 2, 3] rng:[1.5, 3.5, 5.5] aoe:[0, 2.5, 4.5] sur:[10, 15, 30] sup:[0, 4, 8] mob:[1.5, 2.5, 4.5]
1 ent:Established Meta ent_val:2.3755371039644415 dmg:[2, 3, 4] rng:[1.5, 4.5, 7.5] aoe:[0, 1.5, 3.5] sur:[5, 10, 15] sup:[0, 3, 8] mob:[1.5, 3.5, 6.5]
1 ent:Established Meta ent_val:2.4891445729861057 dmg:[2, 4, 8] rng:[1.5, 2.5, 3.5] aoe:[0, 1.5, 3.5] sur:[10, 15, 20] sup:[0, 2, 4] mob:[1.5, 2.5, 4.5]
1 ent:Diverse Meta ent_val:2.5687540448049613 dmg:[2, 4, 8] rng:[1.5, 2.5, 3.5] aoe:[0, 2.5, 4.5] sur:[10, 20, 30] sup:[0, 2, 4] mob:[1.5, 2.5, 4.5]
1 ent:Established Meta ent_val:2.404403482987028 dmg:[2, 3, 4] rng:[1.5, 3.5, 5.5] aoe:[0, 2.5, 4.5] sur:[5, 10, 15] sup:[0, 4, 8] mob:[1.5, 3.5, 6.5]
1 ent:Diverse Meta ent_val:2.5306064458663156 dmg:[2, 4, 8] rng:[1.5, 3.5, 5.5] aoe:[0, 1.5, 3.5] sur:[10, 20, 30] sup:[0, 3, 8] mob:[1.5, 3.5, 6.5]
1 ent:Established Meta ent_val:2.123414105799234 dmg:[2, 4, 8] rng:[1.5, 4.5, 7.5] aoe:[0, 2.5, 4.5] sur:[10, 20, 30] sup:[0, 2, 4] mob:[1.5, 3.5, 6.5]
1 ent:Established Meta ent_val:2.367412465446461 dmg:[2, 4, 8] rng:[1.5, 3.5, 5.5] aoe:[0, 1.5, 3.5] sur:[10, 15, 20] sup:[0, 4, 8] mob:[1.5, 2.5, 4.5]
1 ent:Established Meta ent_val:2.3593580711078626 dmg:[1, 2, 3] rng:[1.5, 4.5, 7.5] aoe:[0, 2.5, 4.5] sur:[10, 15, 20] sup:[0, 4, 8] mob:[1.5, 2.5, 4.5]
1 ent:Established Meta ent_val:2.3159858573317185 dmg:[2, 3, 4] rng:[1.5, 3.5, 5.5] aoe:[0, 2.5, 4.5] sur:[10, 15, 30] sup:[0, 4, 8] mob:[1.5, 3.5, 6.5]
1 ent:Established Meta ent_val:2.2211714582457547 dmg:[2, 4, 8] rng:[1.5, 4.5, 7.5] aoe:[0, 1.5, 3.5] sur:[10, 20, 30] sup:[0, 4, 8] mob:[1.5, 3.5, 6.5]
1 ent:Established Meta ent_val:2.25773112725361 dmg:[1, 2, 3] rng:[1.5, 2.5, 3.5] aoe:[0, 1.5, 3.5] sur:[10, 20, 30] sup:[0, 3, 8] mob:[1.5, 3.5, 6.5]
1 ent:Established Meta ent_val:2.371224147373391 dmg:[2, 4, 8] rng:[1.5, 2.5, 3.5] aoe:[0, 1.5, 3.5] sur:[10, 15, 20] sup:[0, 4, 8] mob:[1.5, 3.5, 6.5]
1 ent:Established Meta ent_val:2.376870989731732 dmg:[2, 3, 4] rng:[1.5, 3.5, 5.5] aoe:[0, 2.5, 4.5] sur:[10, 15, 30] sup:[0, 3, 8] mob:[1.5, 3.5, 6.5]
1 ent:Established Meta ent_val:2.331196387562962 dmg:[2, 3, 4] rng:[1.5, 3.5, 5.5] aoe:[0, 1.5, 3.5] sur:[5, 10, 15] sup:[0, 3, 8] mob:[1.5, 2.5, 4.5]
