,Assassin,Gunner,Exploder,Duelist,Battle Medic,Ninja,Sniper,Mage,Cannon,Druid,Archer,Hazard,Gladiator,Support,Raider,Wall,Paladin,Charger,Healer,Rescuer,Flyer,ENT
0,0.15,0.3,0.5,0.25,0.45,0.35,0.1,0.1,0.3,0.25,0.2,0.05,0.4,0.35,0.1,0.1,0.2,0.15,0.2,0.25,0.25,2.91375616663284
1,0.35,0.25,0.4,0.2,0.35,0.25,0.2,0.15,0.2,0.2,0.15,0.15,0.35,0.4,0.1,0.2,0.15,0.15,0.3,0.25,0.25,2.9785115982418047
2,0.5,0.2,0.25,0.2,0.2,0.3,0.25,0.2,0.15,0.2,0.05,0.2,0.35,0.4,0.1,0.25,0.1,0.15,0.4,0.2,0.35,2.939047308477317
3,0.6,0.2,0.15,0.25,0.2,0.35,0.2,0.2,0.15,0.2,0.05,0.25,0.2,0.55,0.1,0.3,0.1,0.1,0.4,0.1,0.35,2.881901645972831
4,0.75,0.2,0.15,0.25,0.1,0.3,0.2,0.2,0.1,0.15,0.05,0.35,0.2,0.45,0.1,0.3,0.1,0.05,0.5,0.1,0.4,2.815863315710501
5,0.75,0.25,0.1,0.3,0.1,0.35,0.2,0.2,0.1,0.1,0.05,0.35,0.15,0.4,0.1,0.3,0.1,0.0,0.65,0.05,0.4,2.7378585606703423
6,0.8,0.25,0.1,0.3,0.1,0.35,0.2,0.25,0.05,0.05,0.05,0.35,0.1,0.35,0.05,0.3,0.05,0.0,0.85,0.05,0.4,2.6319177344749978
7,0.85,0.25,0.05,0.35,0.1,0.25,0.2,0.25,0.05,0.05,0.05,0.5,0.1,0.4,0.1,0.35,0.05,0.0,0.65,0.0,0.4,2.616227632049105
8,0.9,0.25,0.05,0.35,0.1,0.2,0.2,0.2,0.05,0.05,0.05,0.55,0.1,0.45,0.1,0.35,0.05,0.0,0.5,0.0,0.5,2.6020240883424592
9,0.9,0.15,0.05,0.35,0.0,0.2,0.25,0.2,0.0,0.0,0.05,0.7,0.05,0.45,0.1,0.4,0.0,0.0,0.55,0.0,0.6,2.4149619629272077
10,1.0,0.05,0.05,0.35,0.0,0.2,0.15,0.3,0.0,0.0,0.0,0.75,0.05,0.5,0.1,0.4,0.0,0.0,0.5,0.0,0.6,2.3287626959006125
11,0.95,0.0,0.05,0.35,0.0,0.3,0.15,0.35,0.0,0.0,0.0,0.7,0.05,0.55,0.0,0.4,0.0,0.0,0.55,0.0,0.6,2.271286314794273
12,1.0,0.0,0.05,0.35,0.0,0.25,0.15,0.3,0.0,0.0,0.0,0.7,0.05,0.65,0.0,0.35,0.0,0.0,0.5,0.0,0.65,2.2460471095885772
13,1.0,0.05,0.05,0.3,0.0,0.3,0.15,0.3,0.0,0.0,0.0,0.75,0.0,0.65,0.0,0.35,0.0,0.0,0.5,0.0,0.6,2.246236693813032
14,1.05,0.05,0.05,0.35,0.0,0.25,0.1,0.3,0.0,0.0,0.0,0.75,0.0,0.65,0.05,0.35,0.0,0.0,0.45,0.0,0.6,2.2559626892416906
15,1.05,0.05,0.05,0.35,0.0,0.25,0.1,0.3,0.0,0.0,0.0,0.75,0.0,0.65,0.05,0.4,0.0,0.0,0.45,0.0,0.55,2.260241394307915
16,1.0,0.05,0.05,0.3,0.0,0.3,0.1,0.25,0.0,0.0,0.0,0.8,0.0,0.65,0.05,0.5,0.0,0.0,0.4,0.0,0.55,2.2592378310670456
17,1.0,0.0,0.05,0.25,0.0,0.3,0.1,0.3,0.0,0.0,0.0,0.75,0.0,0.7,0.05,0.55,0.0,0.0,0.4,0.0,0.55,2.2271099160755266
18,0.9,0.0,0.05,0.2,0.0,0.3,0.1,0.3,0.0,0.0,0.0,0.7,0.0,0.75,0.05,0.75,0.0,0.0,0.4,0.0,0.5,2.2220804960928295
19,1.0,0.0,0.05,0.25,0.0,0.3,0.1,0.3,0.0,0.0,0.0,0.7,0.0,0.65,0.05,0.65,0.0,0.0,0.45,0.0,0.5,2.2323141753912226
